 Absidia glauca
 Rhizoctonia solani_ag_3_rhs1ap
 Rhizoctonia solani_ag_8_wac10335
 Rhizophagus irregularis_daom_181602_gca_000439145
 Rhizophagus irregularis_daom_197198w_gca_000597685
 Rhizopogon vesiculosus
 Rhizopogon vinicolor_am_or11_026
 Rhizopus delemar_ra_99_880
 Rhizopus microsporus
 Rhizopus microsporus_var_microsporus
 Rhodotorula graminis_wp1
 Rhodotorula sp_jg_1b
 Rhodotorula toruloides
 Rhodotorula toruloides_atcc_204091
 Rhodotorula toruloides_np11
 Rhynchosporium agropyri
 Rhynchosporium commune
 Rhynchosporium secalis
 Rozella allomycis_csf55
 Saccharomyces arboricola_h_6
 Saccharomyces cerevisiae
 Saccharomyces cerevisiae_awri796
 Saccharomyces cerevisiae_cen_pk113_7d
 Saccharomyces cerevisiae_ec1118
 Saccharomyces cerevisiae_fostersb
 Saccharomyces cerevisiae_fosterso
 Saccharomyces cerevisiae_gca_000091065
 Saccharomyces cerevisiae_gca_001634645
 Saccharomyces cerevisiae_gca_001983315
 Saccharomyces cerevisiae_kyokai_no_7
 Saccharomyces cerevisiae_lalvin_qa23
 Saccharomyces cerevisiae_p283
 Saccharomyces cerevisiae_p301
 Saccharomyces cerevisiae_r008
 Saccharomyces cerevisiae_r103
 Saccharomyces cerevisiae_rm11_1a
 Saccharomyces cerevisiae_vin13
 Saccharomyces cerevisiae_vl3
 Saccharomyces cerevisiae_x_saccharomyces_kudriavzevii_vin7
 Saccharomyces cerevisiae_yjm1078
 Saccharomyces cerevisiae_yjm1083
 Saccharomyces cerevisiae_yjm1129
 Saccharomyces cerevisiae_yjm1133
 Saccharomyces cerevisiae_yjm1190
 Saccharomyces cerevisiae_yjm1199
 Saccharomyces cerevisiae_yjm1202
 Saccharomyces cerevisiae_yjm1208
 Saccharomyces cerevisiae_yjm1242
 Saccharomyces cerevisiae_yjm1244
 Saccharomyces cerevisiae_yjm1248
 Saccharomyces cerevisiae_yjm1250
 Saccharomyces cerevisiae_yjm1252
 Saccharomyces cerevisiae_yjm1273
 Saccharomyces cerevisiae_yjm1304
 Saccharomyces cerevisiae_yjm1307
 Saccharomyces cerevisiae_yjm1311
 Saccharomyces cerevisiae_yjm1326
 Saccharomyces cerevisiae_yjm1332
 Saccharomyces cerevisiae_yjm1336
 Saccharomyces cerevisiae_yjm1338
 Saccharomyces cerevisiae_yjm1341
 Saccharomyces cerevisiae_yjm1342
 Saccharomyces cerevisiae_yjm1355
 Saccharomyces cerevisiae_yjm1356
 Saccharomyces cerevisiae_yjm1381
 Saccharomyces cerevisiae_yjm1383
 Saccharomyces cerevisiae_yjm1385
 Saccharomyces cerevisiae_yjm1386
 Saccharomyces cerevisiae_yjm1387
 Saccharomyces cerevisiae_yjm1388
 Saccharomyces cerevisiae_yjm1389
 Saccharomyces cerevisiae_yjm1399
 Saccharomyces cerevisiae_yjm1400
 Saccharomyces cerevisiae_yjm1401
 Saccharomyces cerevisiae_yjm1402
 Saccharomyces cerevisiae_yjm1415
