#code	taxid	primary taxid	taxname
1	767862	767862	Ganoderma sp. 10597 SS1
1	112417	112417	Gautieria morchelliformis
1	94610	94610	Neurospora tetraspora
1	101096	101096	Gilbertella persicaria
1	1116229	1116229	Glarea lozoyensis ATCC 20868
1	382532	382532	Globomyces pollinis-pini
1	205761	205761	Gloeopeniophorella convolvens
1	670483	670483	Gloeophyllum trabeum ATCC 11539
1	710243	710243	Colletotrichum fioriniae
1	474922	474922	Colletotrichum gloeosporioides
1	574774	574774	Glonium stellatum
1	62708	62708	Golovinomyces cichoracearum
1	1123529	1123529	Gonapodya prolifera
1	101105	101105	Gongronella butleri
1	127520	127520	Gremmeniella abietina
1	655863	655863	Grosmannia clavigera kw1407
1	856835	856835	Guyanagaster necrorhizus
1	1149896	1149896	Gymnascella aurantiaca NRRL 5967
1	37245	37245	Gymnascella citrina
1	1314804	1314804	Gymnopilus chrysopellus
1	109634	109634	Gymnopilus junonius
1	1447940	1447940	Gymnopus androsaceus
1	236213	236213	Gymnopus earleae
1	944289	944289	Gymnopus luxurians FD-317 M1
1	85971	85971	Gyrodon lividus
1	33161	33161	Gyromitra esculenta
1	101107	101107	Halteromyces radiatus
1	53685	53685	Hanseniaspora valbyensis
1	686832	686832	Hebeloma cylindrosporum h7
1	5364	5364	Heliocybe sulcata
1	1907527	1907527	Herpotrichia sp. AK1299
1	101127	101127	Hesseltinella vesiculosa
1	747525	747525	Heterobasidion irregulare TC 32-1
1	1397325	1397325	Heterogastridium pycnidioideum ATCC MYA-4631
1	1140402	1140402	Hexagonia nitida
1	339724	339724	Histoplasma capsulatum NAm1
1	1142505	1142505	Homolaphlyctis polyrhiza
1	245834	245834	Neohortaea acidophila
1	91943	91943	Hortaea werneckii
1	138530	138530	Hyalopycnis blepharistoma
1	82268	82268	Hyaloraphidium curvatum
1	994086	994086	Hydnomerulius pinastri MD-312
1	378272	378272	Hydnopolyporus fimbriatus
1	139363	139363	Hydnum rufescens
1	72124	72124	Hygrophoropsis aurantiaca
1	937743	937743	Hymenopellis radicata
1	354079	354079	Hymenoscyphus varicosporoides
1	945553	945553	Hypholoma sublateritium FD-334 SS-4
1	984485	984485	Hyphopichia burtonii NRRL Y-1933
1	1001833	1001833	Hypoxylon sp. CI-4A
1	1001938	1001938	Hypoxylon sp. CO27-5
1	1001937	1001937	Hypoxylon sp. EC38
1	100027	100027	Hysterium pulicare
1	1079114	1079114	Ilyonectria europaea
1	1079257	1079257	Ilyonectria robusta
1	1079114	1079114	Ilyonectria europaea
1	5319	5319	Irpex lacteus
1	933084	933084	Jaapia argillacea MUCL 33604
1	1569628	1569628	Jaminaea rosea
1	139406	139406	Kalaharituber pfeilii
1	1392251	1392251	Karstenula rhodostoma CBS 690.94
1	1071382	1071382	Kazachstania africana CBS 2517
1	668251	668251	Khuskia oryzae
1	61397	61397	Kickxella alabastrina
1	284590	284590	Kluyveromyces lactis NRRL Y-1140
1	4999	4999	Kockovaella imperatae
1	1382522	1382522	Kuraishia capsulata CBS 1993
1	1095629	1095629	Laccaria amethystina LaAM-08-1
1	29883	29883	Laccaria bicolor
1	111141	111141	Lactarius quietus
1	1837270	1837270	Lactifluus subvellereus
1	71967	71967	Lactarius volemus
1	1314785	1314785	Laetiporus sulphureus 93-53
1	2184036	2184036	Lasiosphaeriaceae sp. AZ0830
1	92901	92901	Lasiosphaeria
1	92902	92902	Lasiosphaeria ovina
1	260670	260670	Lasiosphaeris hirsuta
1	260671	260671	Lasiosphaeria hispida
1	1884255	1884255	Coniochaeta sp. AK0013
1	1391043	1391043	Leiotrametes lactinea
1	2136021	2136021	Leiotrametes menziesii
1	1513325	1513325	Leiotrametes sp. BRFM 1775
1	156609	156609	Lentinellus vulpinus
1	40482	40482	Lentinula lateritia
1	5353	5353	Lentinula edodes
1	40482	40482	Lentinula lateritia
1	153919	153919	Lentinula raphanica
1	1328759	1328759	Lentinus tigrinus ALCF2SS1-6
1	1328758	1328758	Lentinus tigrinus ALCF2SS1-7
1	5365	5365	Lentinus tigrinus
1	690899	690899	Lentithecium fluviatile
1	1709938	1709938	Leotiomycetes sp.
1	741139	741139	Lepidopterella palustris
1	64659	64659	Lepista nuda
1	75374	75374	Leptodontidium
1	1485227	1485227	Leptodontidium sp. 2 PMI_412
1	985895	985895	Leptosphaeria maculans JN3
1	1258663	1258663	Leucoagaricus gongylophorus Ac12
1	85980	85980	Leucogyrophana mollusca
1	106004	106004	Leucosporidium creatinivorum
1	1263082	1263082	Lichtheimia corymbifera JMRC:FSU:9682
1	420593	420593	Lichtheimia hyalospora
1	61395	61395	Linderina pennispora
1	673940	673940	Lindgomyces ingoldianus
1	45816	45816	Lindra thalassiae
1	578093	578093	Lineolata rhizophorae
1	29829	29829	Lipomyces starkeyi
1	1496277	1496277	Lizonia empirigonia
1	86794	86794	Lobaria pulmonaria
1	86794	86794	Lobaria pulmonaria
1	86794	86794	Lobaria pulmonaria
1	86794	86794	Lobaria pulmonaria
1	86794	86794	Lobaria pulmonaria
1	64571	64571	Lobosporangium transversale
1	379508	379508	Lodderomyces elongisporus NRRL YB-4239
1	151671	151671	Lollipopaia minuta
1	1314788	1314788	Lophiostoma macrostomum CBS 122681
1	690887	690887	Lophiotrema nucula
1	390894	390894	Lophium mytilinum
1	190466	190466	Lophodermium nitens
1	132173	132173	Loramyces juncicola
1	380016	380016	Loramyces macrosporus
1	90686	90686	Lycoperdon perlatum
1	1400762	1400762	Macrolepiota fuliginosa MF-IS2
1	35725	35725	Macrophomina phaseolina
1	1126212	1126212	Macrophomina phaseolina MS6
1	301207	301207	Macroventuria anomochaeta
1	242507	242507	Magnaporthe oryzae 70-15
1	644358	644358	Magnaporthiopsis poae ATCC 64411
1	425265	425265	Malassezia globosa CBS 7966
1	1230383	1230383	Malassezia sympodialis ATCC 42132
1	1328755	1328755	Marasmius fiardii
1	1896173	1896173	Mariannaea sp. PMI_226
1	1072389	1072389	Marssonina brunnea f. sp. 'multigermtubi' MB_m1
1	61414	61414	Martensiomyces pterosporus
1	1395130	1395130	Massarina eburnea CBS 473.64
1	100035	100035	Massariosphaeria phaeospora
